location,latitud,longitud
Usaquén,4.7559249,-74.0210358
Usaquén,4.757587,-74.0214006
Usaquén,4.7581072,-74.0214765
Usaquén,4.7583051,-74.0212898
Usaquén,4.7584921,-74.0212471
Usaquén,4.7586739,-74.0212492
Usaquén,4.7594505,-74.021405
Usaquén,4.7595147,-74.0209973
Usaquén,4.7601764,-74.0210802
Usaquén,4.760241,-74.0187341
Usaquén,4.76176,-74.0199781
Usaquén,4.7619096,-74.0205145
Usaquén,4.7616303,-74.0209567
Usaquén,4.7616157,-74.0211937
Usaquén,4.7617993,-74.0213649
Usaquén,4.7629449,-74.0215364
Usaquén,4.7635295,-74.0220605
Usaquén,4.7638605,-74.0222269
Usaquén,4.7640696,-74.02228
Usaquén,4.7644256,-74.0224601
Usaquén,4.7646467,-74.0198815
Usaquén,4.7649728,-74.0198654
Usaquén,4.764914,-74.0211314
Usaquén,4.7647298,-74.0224251
Usaquén,4.7652199,-74.0224484
Usaquén,4.7651655,-74.0221648
Usaquén,4.7651709,-74.021776
Usaquén,4.76569,-74.0188109
Usaquén,4.7668378,-74.0181308
Usaquén,4.7680491,-74.0180745
Usaquén,4.768697,-74.0178779
Usaquén,4.7697392,-74.0173724
Usaquén,4.770866,-74.0172319
Usaquén,4.7717674,-74.016951
Usaquén,4.772779,-74.0166431
Usaquén,4.7740997,-74.0164405
Usaquén,4.775014,-74.0164404
Usaquén,4.7762331,-74.016339
Usaquén,4.7767411,-74.0161364
Usaquén,4.779462,-74.0160946
Usaquén,4.7797889,-74.0161362
Usaquén,4.7801281,-74.0161622
Usaquén,4.7811097,-74.0162373
Usaquén,4.7818209,-74.0163385
Usaquén,4.7829384,-74.016541
Usaquén,4.7841576,-74.0166421
Usaquén,4.7851735,-74.0167433
Usaquén,4.7861895,-74.0167432
Usaquén,4.7872054,-74.0166419
Usaquén,4.7885261,-74.0165405
Usaquén,4.7901516,-74.0163378
Usaquén,4.7908628,-74.0163377
Usaquén,4.7917771,-74.0162364
Usaquén,4.7928946,-74.0158312
Usaquén,4.7936058,-74.0152235
Usaquén,4.7940121,-74.0150209
Usaquén,4.7944185,-74.0146157
Usaquén,4.7951296,-74.0141093
Usaquén,4.7957391,-74.0136029
Usaquén,4.7971238,-74.0134733
Usaquén,4.7982624,-74.0128012
Usaquén,4.7977279,-74.0116296
Usaquén,4.7974501,-74.0107919
Usaquén,4.7970973,-74.0085929
Usaquén,4.7976052,-74.0077827
Usaquén,4.7982147,-74.0069724
Usaquén,4.7985194,-74.0060609
Usaquén,4.7985193,-74.0054533
Usaquén,4.7998931,-74.00458
Usaquén,4.8002993,-74.003883
Usaquén,4.8008071,-74.0033854
Usaquén,4.8008095,-74.0033715
Usaquén,4.8030291,-74.0012562
Usaquén,4.8030718,-74.0009558
Usaquén,4.8043334,-74.0007627
Usaquén,4.8046402,-73.9993876
Usaquén,4.8047526,-73.9988536
Usaquén,4.805667,-73.9988535
Usaquén,4.8065813,-73.9989547
Usaquén,4.8073941,-73.9992584
Usaquén,4.8081054,-73.999866
Usaquén,4.8090199,-74.0013851
Usaquén,4.8094263,-74.0022965
Usaquén,4.8099344,-74.0030054
Usaquén,4.8106727,-74.0051956
Usaquén,4.8116405,-74.004647
Usaquén,4.8122501,-74.0046469
Usaquén,4.8129774,-74.0043525
Usaquén,4.8145174,-74.0036407
Usaquén,4.8164573,-74.0043301
Usaquén,4.823359,-74.006739
Usaquén,4.8232416,-74.0067547
Usaquén,4.8230001,-74.0074529
Usaquén,4.8227509,-74.0080762
Usaquén,4.8226876,-74.0085528
Usaquén,4.8223825,-74.0092065
Usaquén,4.8216058,-74.0096496
Usaquén,4.8215221,-74.0099687
Usaquén,4.8212559,-74.0102841
Usaquén,4.8210178,-74.0104515
Usaquén,4.8210626,-74.0105537
Usaquén,4.8211428,-74.0107365
Usaquén,4.8212491,-74.0110714
Usaquén,4.8213313,-74.0114446
Usaquén,4.8213957,-74.0119048
Usaquén,4.8214376,-74.0124501
Usaquén,4.8214516,-74.0129006
Usaquén,4.8214471,-74.013118
Usaquén,4.8214397,-74.0134717
Usaquén,4.8214186,-74.0137801
Usaquén,4.8213827,-74.0141279
Usaquén,4.821253,-74.0151212
Usaquén,4.8211789,-74.0158051
Usaquén,4.8210472,-74.0168246
